date,notes,state,url,
31/12/2020,,AP,https://www.portal.ap.gov.br/noticia/3112/boletim-informativo-covid-19-amapa-31-de-dezembro-de-2020,
30/12/2020,,AP,https://www.portal.ap.gov.br/noticia/3012/boletim-informativo-covid-19-amapa-30-de-dezembro-de-2020,
29/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2912/boletim-informativo-covid-19-amapa-29-de-dezembro-de-2020,
28/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2812/boletim-informativo-covid-19-amapa-28-de-dezembro-de-2020,
27/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2712/boletim-informativo-covid-19-amapa-27-de-dezembro-de-2020,
26/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2612/boletim-informativo-covid-19-amapa-26-de-dezembro-de-2020,
25/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2512/boletim-informativo-covid-19-amapa-25-de-dezembro-de-2020,
24/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2412/boletim-informativo-covid-19-amapa-24-de-dezembro-de-2020,
23/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2312/boletim-informativo-covid-19-amapa-23-de-dezembro-de-2020,
22/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2212/boletim-informativo-covid-19-amapa-22-de-dezembro-de-2020,
21/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2112/boletim-informativo-covid-19-amapa-21-de-dezembro-de-2020,
20/12/2020,,AP,https://www.portal.ap.gov.br/noticia/2012/boletim-informativo-covid-19-amapa-20-de-dezembro-de-2020,
19/12/2020,Dados totais coletados da Secretaria Estadual de Saúde,AP,https://docs.google.com/spreadsheets/d/17mmfgPAcVCeHW3548BlFtuurAvF3jeffRVO1NW7rVgQ/export?format=csv,
18/12/2020,,AP,https://www.portal.ap.gov.br/noticia/1812/boletim-informativo-covid-19-amapa-18-de-dezembro-de-2020,
17/12/2020,,AP,https://www.portal.ap.gov.br/noticia/1712/boletim-informativo-covid-19-amapa-17-de-dezembro-de-2020,
16/12/2020,,AP,https://portal.ap.gov.br/noticia/1812/boletim-informativo-covid-19-amapa-16-de-dezembro-de-2020,
15/12/2020,,AP,https://www.portal.ap.gov.br/noticia/1512/boletim-informativo-covid-19-amapa-15-de-dezembro-de-2020,
14/12/2020,,AP,https://www.portal.ap.gov.br/noticia/1412/boletim-informativo-covid-19-amapa-14-de-dezembro-de-2020,
13/12/2020,,AP,https://www.portal.ap.gov.br/noticia/1312/-nbsp-boletim-informativo-covid-19-amapa-13-de-dezembro-de-2020,
12/12/2020,,AP,https://www.portal.ap.gov.br/noticia/1212/boletim-informativo-covid-19-amapa-12-de-dezembro-de-2020,
11/12/2020,,AP,https://www.portal.ap.gov.br/noticia/1112/boletim-informativo-covid-19-amapa-11-de-dezembro-de-2020,
10/12/2020,,AP,https://www.portal.ap.gov.br/noticia/1012/boletim-informativo-covid-19-amapa-10-de-dezembro-de-2020,
09/12/2020,,AP,https://www.portal.ap.gov.br/noticia/0912/boletim-informativo-covid-19-amapa-9-de-dezembro-de-2020,
08/12/2020,,AP,https://www.portal.ap.gov.br/noticia/0812/boletim-informativo-covid-19-amapa-8-de-dezembro-de-2020-nbsp-,
07/12/2020,,AP,https://www.portal.ap.gov.br/noticia/0712/boletim-informativo-covid-19-amapa-7-de-dezembro-de-2020,
06/12/2020,,AP,https://portal.ap.gov.br/noticia/0612/boletim-informativo-covid-19-amapa-6-de-dezembro-de-2020,
05/12/2020,,AP,https://www.portal.ap.gov.br/noticia/0512/boletim-informativo-covid-19-amapa-5-de-dezembro-de-2020,
04/12/2020,,AP,https://www.portal.ap.gov.br/noticia/0412/boletim-informativo-covid-19-amapa-4-de-dezembro-de-2020,
03/12/2020,,AP,https://www.portal.ap.gov.br/noticia/0312/boletim-informativo-covid-19-amapa-3-de-dezembro-de-2020,
02/12/2020,,AP,https://www.portal.ap.gov.br/noticia/0212/boletim-informativo-covid-19-amapa-2-de-dezembro-de-2020,
01/12/2020,,AP,https://www.portal.ap.gov.br/noticia/0112/boletim-informativo-covid-19-amapa-1-deg-de-dezembro-de-2020,
31/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_31_12_2020-1.pdf,
30/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_30_12_2020.pdf,
29/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_29_12_2020-1.pdf,
28/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_28_12_2020-1.pdf,
27/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_27_12_2020-1.pdf,
26/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_26_12_2020-1.pdf,
25/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_25_12_2020-1.pdf,
24/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM-COVID-AC-24-12-2020.pdf,
23/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_23_12_2020.pdf,
22/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_22_12_2020-1.pdf,
21/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_21_12_2020.pdf,
20/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_20_12_2020.pdf,
19/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_19_12_2020.pdf,
18/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_18_12_2020.pdf,
17/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_17_12_2020.pdf,
16/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_16_12_2020.pdf,
15/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID_AC_15_12_2020.pdf,
14/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/boletim-epidemiologico-dia-14.12.2020.pdf,
13/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/boletim-epidemiologico-dia-13.12.2020.pdf,
12/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/boletim-epidemiologico-dia-12.12.2020.pdf,
11/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/boletim-epidemiologico-dia-11.12.2020-1.pdf,
10/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_10_12_2020.pdf,
09/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_09_12_2020.pdf,
08/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_08_12_2020.pdf,
07/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_07_12_2020.pdf,
06/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_06_12_2020.pdf,
05/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_05_12_2020.pdf,
04/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_04_12_2020.pdf,
03/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_03_12_2020.pdf,
02/12/2020,,AC,https://agencia.ac.gov.br/wp-content/uploads/2020/12/BOLETIM_COVID-19_ACRE_02_12_2020.pdf,
01/12/2020,,AC,https://agencia.ac.gov.br/,
31/12/2020,,AM,http://www.fvs.am.gov.br/media/publicacao/31_12_20_BOLETIM_DI%C3%81RIO_DE_CASOS_COVID-19.pdf,
30/12/2020,,AM,http://www.fvs.am.gov.br/media/publicacao/30_12_20_BOLETIM_DI%C3%81RIO_DE_CASOS_COVID-19.pdf,
29/12/2020,,AM,http://www.fvs.am.gov.br/media/publicacao/29_12_20_BOLETIM_DI%C3%81RIO_DE_CASOS_COVID-19.pdf,
28/12/2020,,AM,http://www.fvs.am.gov.br/noticias_view/4341,
27/12/2020,,AM,http://www.fvs.am.gov.br/noticias_view/4340,
26/12/2020,,AM,http://www.fvs.am.gov.br/noticias_view/4339,
25/12/2020,,AM,http://www.fvs.am.gov.br/noticias_view/4338,
24/12/2020,,AM,http://www.fvs.am.gov.br/noticias_view/4337,
23/12/2020,,AM,http://www.fvs.am.gov.br/noticias_view/4335,
22/12/2020,,AM,http://www.fvs.am.gov.br/noticias_view/4334,
